acc_train,acc_test,n_samples,n_blocks,n_epochs,batch_size,learning_rate,subset,wave_lengths,labels
0.7698188424110413,0.8212974071502686,50000,50,20,32,0.0001,synthetic,VNIR,complete
0.7542094588279724,0.7497507333755493,50000,50,20,32,0.0001,synthetic,VNIR,complete
0.7318902611732483,0.5762081742286682,50000,50,20,32,0.0001,synthetic,VNIR,complete
0.7752121686935425,0.6608606576919556,50000,50,20,32,0.0001,synthetic,VNIR,complete
0.7131332159042358,0.5627376437187195,50000,50,20,32,0.0001,synthetic,VNIR,complete
0.7762255072593689,0.6744704842567444,50000,50,20,32,0.0001,synthetic,VNIR,complete
0.781186044216156,0.7402827143669128,50000,50,20,32,0.0001,synthetic,VNIR,complete
0.704768717288971,0.9043859839439392,50000,50,20,32,0.0001,synthetic,VNIR,complete
0.7505594491958618,0.9263657927513123,50000,50,20,32,0.0001,synthetic,VNIR,complete
0.7312321662902832,0.6123276352882385,50000,50,20,32,0.0001,synthetic,VNIR,complete
0.7452664375305176,0.6809871792793274,50000,50,20,32,0.0001,synthetic,VNIR,complete
0.7927411198616028,0.769753634929657,50000,50,20,32,0.0001,synthetic,VNIR,complete
0.7227305173873901,0.4000000059604645,50000,50,20,32,0.0001,synthetic,VNIR,complete
0.7509510517120361,0.47649186849594116,50000,50,20,32,0.0001,synthetic,VNIR,complete
0.731838583946228,0.6361702084541321,50000,50,20,32,0.0001,synthetic,VNIR,complete
0.6950955390930176,0.7441229820251465,50000,50,20,32,0.0001,synthetic,VNIR,complete
0.7287329435348511,0.9651394486427307,50000,50,20,32,0.0001,synthetic,VNIR,complete
0.736395537853241,0.7458847761154175,50000,50,20,32,0.0001,synthetic,VNIR,complete
0.7768373489379883,0.8442396521568298,50000,50,20,32,0.0001,synthetic,VNIR,complete
0.727950930595398,0.7581395506858826,50000,50,20,32,0.0001,synthetic,VNIR,complete
0.7688608169555664,0.9225806593894958,50000,50,20,32,0.0001,synthetic,VNIR,complete
0.7410205602645874,0.8393378853797913,50000,50,20,32,0.0001,synthetic,VNIR,complete
0.737352728843689,0.7025586366653442,50000,50,20,32,0.0001,synthetic,VNIR,complete
0.7946253418922424,0.5742753744125366,50000,50,20,32,0.0001,synthetic,VNIR,complete
0.7389596700668335,0.8784878253936768,50000,50,20,32,0.0001,synthetic,VNIR,complete
0.7673035264015198,0.6335541009902954,50000,50,20,32,0.0001,synthetic,VNIR,complete
0.7145797610282898,0.8766094446182251,50000,50,20,32,0.0001,synthetic,VNIR,complete
0.7517927885055542,0.6465661525726318,50000,50,20,32,0.0001,synthetic,VNIR,complete
0.7078752517700195,0.0883864313364029,50000,50,20,32,0.0001,synthetic,VNIR,complete
0.6715781092643738,0.7327327132225037,50000,50,20,32,0.0001,synthetic,VNIR,complete
0.7093736529350281,0.687299907207489,50000,50,20,32,0.0001,synthetic,VNIR,complete
